2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 22 6 | 5 0 24 | 23 7 28
3457: 0 26 49 | 74 25 3433 | 1 24 50
3461: 256 3231 49 | 3279 25 232 | 1 280 3255
3463: 2916 573 49 | 621 25 2892 | 1 2940 597
3467: 289 3204 49 | 3252 25 265 | 1 313 3228
3469: 81 3414 49 | 3462 25 57 | 1 105 3438
3491: 1369 2148 49 | 2196 25 1345 | 1 1393 2172
3499: 1764 1761 49 | 1809 25 1740 | 1 1788 1785
3511: 784 2753 49 | 2801 25 760 | 1 808 2777
3517: 64 3479 49 | 10 25 40 | 1 88 3503
3527: 121 3432 49 | 3480 25 97 | 1 145 3456
3529: 144 3411 49 | 3459 25 120 | 1 168 3435
3533: 64 3495 49 | 10 25 40 | 1 88 3519
3539: 36 3529 49 | 38 25 12 | 1 60 14
3541: 900 2667 49 | 2715 25 876 | 1 924 2691
3547: 64 3509 49 | 10 25 40 | 1 88 3533
3557: 484 3099 49 | 3147 25 460 | 1 508 3123
3559: 1867 1718 49 | 1766 25 1843 | 1 1891 1742
3571: 529 3068 49 | 3116 25 505 | 1 553 3092
3581: 676 2931 49 | 2979 25 652 | 1 700 2955
3583: 625 2984 49 | 3032 25 601 | 1 649 3008
3593: 81 3538 49 | 3586 25 57 | 1 105 3562
3607: 900 2733 49 | 2781 25 876 | 1 924 2757
3613: 169 3470 49 | 3518 25 145 | 1 193 3494
3617: 900 2743 49 | 2791 25 876 | 1 924 2767
3623: 2601 1048 49 | 1096 25 2577 | 1 2625 1072
3631: 729 2928 49 | 2976 25 705 | 1 753 2952
3637: 121 3542 49 | 3590 25 97 | 1 145 3566
